@nxr	Rel_Inc	NIIY	tby	tradey	totqn	resid_ave	resid_diff	resid_diff2	resid_ECM1	resid_ECM2	resid_ECM3	resid_ECM3srlr	resid_ECM3sr	resid_home	resid_foreign@
-0.1423957	0.0203211	-0.01431	-0.0266413	0.2478949	-0.0207805	-0.080319	-0.035788	-0.0672974	-0.039188	-0.0320043	-0.0259746	-0.0259746	-0.0325822	0.4031687	0.3771941
-0.1304591	0.0143006	-0.0034108	-0.0261658	0.257621	0.0178954	-0.0733161	0.0129514	-0.0546579	0.0039994	-0.0012561	0.009451	0.009451	0.0080115	0.4143512	0.4238022
-0.1411351	0.0181797	0.000671	-0.0279839	0.2619062	0.0195268	-0.0883333	-0.0144675	-0.0694373	-0.0255312	-0.0248558	-0.0055676	-0.0055676	0.0022156	0.4090505	0.4034829
-0.1646088	0.0101607	0.0033094	-0.0318528	0.2689487	-0.0045615	-0.0969655	-0.0118308	-0.0815801	-0.0244366	-0.0268843	-0.0196594	-0.0196594	-0.007953	0.4152353	0.3955759
-0.1713942	-2.38E-07	0.0078273	-0.0335793	0.2757409	0.0014533	-0.0952935	0.0028605	-0.0790315	-0.0085821	-0.0135774	-0.010508	-0.010508	0.0022092	0.4027405	0.3922325
-0.147583	0.0130823	0.0038891	-0.0306647	0.2786866	0.0362753	-0.0944275	0.0062529	-0.0730906	-0.0048438	-0.0025106	-0.0014722	-0.0014722	0.0145743	0.3806506	0.3791784
-0.1500345	0.0313895	0.0016867	-0.0313279	0.2816152	0.0654476	-0.1234487	-0.0244578	-0.0978602	-0.0373044	-0.0327574	-0.0399589	-0.0399589	-0.0246616	0.3792894	0.3393305
-0.1423445	0.0145514	0.003836	-0.0303678	0.2826368	0.0987157	-0.1083431	0.020266	-0.0779062	0.0041564	-0.0054775	-0.0094618	-0.0094618	0.0080019	0.3814712	0.3720094
-0.1399409	0.0291493	-0.0008654	-0.030244	0.284632	0.0863335	-0.1170304	-0.0101799	-0.0883981	-0.0277613	-0.0224765	-0.0212287	-0.0212287	-0.0014086	0.3836213	0.3623926
-0.1410951	-0.0068753	0.0053192	-0.0303879	0.2844587	0.0598768	-0.0746666	0.0388199	-0.0498901	0.021013	0.0073828	0.0032583	0.0032583	0.0197374	0.3779284	0.3811867
